像我这样的人 (Live),毛不易,686.7万,小峰学长,2022-09-27 11:12:34,这首歌很适合现在的我，加油！
像我这样的人 (Live),毛不易,686.7万,路过人间,2022-09-27 01:59:22,像我这样莫名其妙的人会不会有人心疼？
像我这样的人 (Live),毛不易,686.7万,Aurora,2022-09-27 01:05:05,一切都会好起来的
像我这样的人 (Live),毛不易,686.7万,WINE,2022-09-26 23:44:04,像我这样碌碌无为的人
像我这样的人 (Live),毛不易,686.7万,剧中人,2022-09-26 22:15:28,难过的时候喜欢听这种悲伤歌
像我这样的人 (Live),毛不易,686.7万,蜗壳,2022-09-26 22:09:40,2022年9月26日，单曲循环了一天了，远在外地上班真的想家了！2022外婆离开了，奶奶病情严重，远在外地回不去，还得好好努力，不能让父母担心，加油吧
像我这样的人 (Live),毛不易,686.7万,长清馄饨，水饺批发！,2022-09-26 18:23:21,欲哭无泪，生活充满无奈。我一直在努力做事业。一直在用心。却……婚姻不如意。钱，钱挣不到。事业，事业还未成。负债累累。被最近的人追着要账。又不一心。默默忍泪。亏欠太多人。死又死不起。我才41岁。大年初一下午就不顺。操它祖宗的。我到底怎样才能走出困境？？？？
像我这样的人 (Live),毛不易,686.7万,lazy,2022-09-25 23:47:50,知错不再犯 我依然是个好人！
像我这样的人 (Live),毛不易,686.7万,自由如风,2022-09-25 23:24:06,像我这样的人
像我这样的人 (Live),毛不易,686.7万,Life、,2022-09-25 23:23:42,“年少总想着浪迹天涯，闯荡四方;后来就发现自己从来，都不懂这世间;真假对错，是非善恶”;“从来没有”
像我这样的人 (Live),毛不易,686.7万,明,2022-09-25 21:45:02,这种歌才称得上是金曲，短短几句却道尽人间沧桑。不像那什么花花草草的歌！什么鬼
像我这样的人 (Live),毛不易,686.7万,一棵菜,2022-09-25 19:14:39,唱出了多少人
像我这样的人 (Live),毛不易,686.7万,এ᭄一种孤独的罪名,2022-09-25 18:39:51,人生三大未可知的伤心，路在何方，前方迷茫，寻找远方
像我这样的人 (Live),毛不易,686.7万,小刘～,2022-09-25 11:18:50,希望我们都可以被坚定的选择和莫名的偏爱…
像我这样的人 (Live),毛不易,686.7万,欧尼蒋,2022-09-25 01:27:49,现在是22年9月25日01时27分
像我这样的人 (Live),毛不易,686.7万,一只可爱蛋,2022-09-25 00:30:33,像我这样的人，她觉得累也是正常的吧。有遗憾能咋样呢，一个人慢慢走吧。
像我这样的人 (Live),毛不易,686.7万,全幼儿园最帅,2022-09-24 23:19:53,5年后的吴传棋你是么样的啊？还是像现在一无事处？
像我这样的人 (Live),毛不易,686.7万,决定暴富☞,2022-09-24 23:15:43,分手五天了  谈了五年了   已经开始难受了
像我这样的人 (Live),毛不易,686.7万,Life、,2022-09-24 19:10:39,“年少总想着浪迹天涯，闯荡四方;后来就发现自己从来，都不懂这世间;真假对错，是非善恶”;“从来没有”“年少总想着浪迹天涯，闯荡四方;后来就发现自己从来，都不懂这世间;真假对错，是非善恶”;“从来没有”
像我这样的人 (Live),毛不易,686.7万,汪汪汪,2022-09-23 23:26:00,人间充满了苦难
像我这样的人 (Live),毛不易,686.7万,从黑夜到白昼,2022-09-23 23:23:18,像我这样的打灰人，怎么度过一生
像我这样的人 (Live),毛不易,686.7万,Life、,2022-09-23 22:39:11,一句“我没事”藏着千万句说不出委屈，一句“我很好”捂着一颗支离破碎的心，一句“习惯了”代替了所有的一言难尽，一句“算了”藏着多少心酸和无奈。
像我这样的人 (Live),毛不易,686.7万,轻水,2022-09-23 19:10:42,每次听我都会想到那年高中住在同学家，看着他玩电脑不断循环这首歌
像我这样的人 (Live),毛不易,686.7万,几度雨停,2022-09-23 18:49:02,好听
像我这样的人 (Live),毛不易,686.7万,作为一个懒女人,2022-09-23 11:42:17,音乐节应该去的吧
像我这样的人 (Live),毛不易,686.7万,姚楷,2022-09-23 09:40:55,好几年没去ktv，上周去了一次，别的歌一首没唱，就唱了这一首……
像我这样的人 (Live),毛不易,686.7万,终究还是败给了现实,2022-09-23 01:51:35,666
像我这样的人 (Live),毛不易,686.7万,🕵️,2022-09-23 00:06:00,呃呃
像我这样的人 (Live),毛不易,686.7万,你都如何回忆我,2022-09-22 23:49:29,怎么曾经也会为了谁，想过奋不顾身
像我这样的人 (Live),毛不易,686.7万,Life、,2022-09-22 21:46:15,有时候闻到空气里的一种味道，总会想起小时候的某个场景。
像我这样的人 (Live),毛不易,686.7万,ㅤ,2022-09-22 14:32:32,毛不易飘了，歌都开始收费了，开始听得时候都是免费的
像我这样的人 (Live),毛不易,686.7万,于传洋,2022-09-22 12:13:12,我好想你lily
像我这样的人 (Live),毛不易,686.7万,普之诚,2022-09-22 11:05:52,求人不如求己 真的活明白了
像我这样的人 (Live),毛不易,686.7万,取悦,2022-09-21 23:26:46,害
像我这样的人 (Live),毛不易,686.7万,淇云,2022-09-21 23:24:39,别去埋怨不公吧！擦干眼泪继续前行
像我这样的人 (Live),毛不易,686.7万,Zofa 👤,2022-09-21 20:40:51,年少不经事，懂事已中年。生活，生下来，活下去，简单的两个字概括了一生的酸甜苦辣。
像我这样的人 (Live),毛不易,686.7万,Life、,2022-09-21 19:58:55,“年少总想着浪迹天涯，闯荡四方;后来就发现自己从来，都不懂这世间;真假对错，是非善恶”;“从来没有”
像我这样的人 (Live),毛不易,686.7万,GTR 👉수랑👣,2022-09-21 17:35:07,每次听的时候差点哭了😳
