李荣浩,年少有为,790.8万,https://y.qq.com/n/ryqq/songDetail/002WpZPj4OOGeT,285043453
李荣浩,麻雀,790.8万,https://y.qq.com/n/ryqq/songDetail/000lv3Zi13dSVA,246492240
李荣浩,不将就,790.8万,https://y.qq.com/n/ryqq/songDetail/000edAg12jLBrN,102367085
李荣浩,戒烟,790.8万,https://y.qq.com/n/ryqq/songDetail/000ByvB6495lpZ,209340068
李荣浩,戒烟,790.8万,https://y.qq.com/n/ryqq/songDetail/004MvQot3V0O8P,328262786
李荣浩,老街,790.8万,https://y.qq.com/n/ryqq/songDetail/000sU9jC3bN2dY,102069682
李荣浩,爸爸妈妈,790.8万,https://y.qq.com/n/ryqq/songDetail/001xBUtF3rgn7O,105526949
李荣浩,模特,790.8万,https://y.qq.com/n/ryqq/songDetail/002FRBul05dgjC,5016169
李荣浩,女儿国,790.8万,https://y.qq.com/n/ryqq/songDetail/003YYX4K3gTZBT,212046553
李荣浩,李白,790.8万,https://y.qq.com/n/ryqq/songDetail/000rMFLS0ZnngN,5016168
任然,飞鸟和蝉,282.4万,https://y.qq.com/n/ryqq/songDetail/004Fimy419PpsA,270283298
任然,无人之岛,282.4万,https://y.qq.com/n/ryqq/songDetail/001fTFGe0LqzdT,203452364
任然,落海,282.4万,https://y.qq.com/n/ryqq/songDetail/002otIR30L2LZO,307167242
任然,难堪,282.4万,https://y.qq.com/n/ryqq/songDetail/003mcx3e2S0bqa,332441237
任然,后继者,282.4万,https://y.qq.com/n/ryqq/songDetail/003qKlqV1PVMB8,109391882
任然,关键词,282.4万,https://y.qq.com/n/ryqq/songDetail/003Ph9WS2YraQM,201816550
任然,雀跃,282.4万,https://y.qq.com/n/ryqq/songDetail/002xADAG0ndpws,317328330
任然,疑心病,282.4万,https://y.qq.com/n/ryqq/songDetail/003HSdVY3Z3GST,105519196
任然,空空如也,282.4万,https://y.qq.com/n/ryqq/songDetail/001OFCtb1K2hBU,212676452
任然,走不出的回忆,282.4万,https://y.qq.com/n/ryqq/songDetail/002X2A9s2qIVBe,108966508
程响,时光洪流,143.3万,https://y.qq.com/n/ryqq/songDetail/001YVo3U4H3LLH,320315208
程响,四季予你,143.3万,https://y.qq.com/n/ryqq/songDetail/004bd0Av3rVEE3,290702057
程响,等你归来,143.3万,https://y.qq.com/n/ryqq/songDetail/000lkMEi2bOZ0v,293985379
程响,世界这么大还是遇见你,143.3万,https://y.qq.com/n/ryqq/songDetail/001xLIXo2w9V7U,248929498
程响,不再联系,143.3万,https://y.qq.com/n/ryqq/songDetail/000p3XN73Y5vV6,102798993
程响,千里共婵娟,143.3万,https://y.qq.com/n/ryqq/songDetail/003B3YRf2bQBix,237179755
程响,想起了你,143.3万,https://y.qq.com/n/ryqq/songDetail/002jyUB34ePDOv,225556832
程响,四季予你 (DJ版),143.3万,https://y.qq.com/n/ryqq/songDetail/001s7GQy3JQxaZ,291376747
程响,孤陋寡闻,143.3万,https://y.qq.com/n/ryqq/songDetail/002XNXC04QXD2W,328458806
程响,四季予你 (DJ沈念版),143.3万,https://y.qq.com/n/ryqq/songDetail/001o8nbL0Vh3ST,294273687
王小帅,哭泣站台,53.0万,https://y.qq.com/n/ryqq/songDetail/000fdOY92wZNmm,331724115
王小帅,怨苍天变了心 (吉他版),53.0万,https://y.qq.com/n/ryqq/songDetail/001dGNKF3KlMu0,319905785
王小帅,你头顶的风,53.0万,https://y.qq.com/n/ryqq/songDetail/000QDYVT13JXoS,296546796
王小帅,不是因为寂寞才想你,53.0万,https://y.qq.com/n/ryqq/songDetail/001cgpor2AnOa9,247123388
王小帅,最近,53.0万,https://y.qq.com/n/ryqq/songDetail/003yK5G20jEhIJ,230393521
王小帅,我爱他,53.0万,https://y.qq.com/n/ryqq/songDetail/002KVKHw4JCGfJ,247917916
王小帅,机场等船,53.0万,https://y.qq.com/n/ryqq/songDetail/001oUe4A2OjmTN,315808284
王小帅,辞九门回忆（翻自 李袈）,53.0万,https://y.qq.com/n/ryqq/songDetail/003Lq4LV4RFRCN,327173375
王小帅,余光边框,53.0万,https://y.qq.com/n/ryqq/songDetail/003PoX5c48XCKb,308555513
